mood,acousticness,danceability,energy,instrumentalness,key,mode,tempo,valence
angry,0.089,0.533,0.74,2.95e-06,2,1,89.934,0.465
angry,0.0116,0.557,0.616,0,2,1,86.722,0.431
angry,0.00261,0.52,0.831,0,9,1,160.035,0.677
angry,0.363,0.386,0.592,0,11,1,146.879,0.161
angry,0.000531,0.51,0.833,0,8,1,176.846,0.51
angry,0.382,0.712,0.734,0.000173,8,1,95.996,0.745
angry,0.00261,0.508,0.797,7.56e-06,1,1,126.982,0.361
angry,0.0445,0.66,0.676,0.000478,11,0,167.905,0.904
angry,0.0129,0.584,0.557,0,6,1,154.008,0.767
angry,0.00284,0.652,0.879,0.0896,0,1,173.925,0.789
angry,0.00533,0.697,0.552,0,7,1,94.978,0.726
angry,0.0666,0.6,0.939,6.18e-06,7,1,159.941,0.833
angry,0.226,0.51,0.438,0,1,1,130.982,0.37
angry,0.0557,0.385,0.873,0,1,1,120.393,0.469
angry,0.0893,0.787,0.686,0,6,0,123.51,0.836
angry,0.0203,0.642,0.934,1.7e-05,9,0,131.043,0.463
angry,0.178,0.715,0.656,0.0378,9,1,99.996,0.415
angry,0.112,0.854,0.706,5.24e-05,1,0,82.983,0.611
angry,0.00736,0.567,0.807,0.842,1,0,112.008,0.538
angry,0.424,0.488,0.832,0.00288,0,1,157.984,0.554
angry,0.778,0.641,0.68,1.32e-05,4,1,149.757,0.482
angry,0.162,0.938,0.437,0,10,0,119.994,0.646
angry,0.0364,0.547,0.693,3.76e-05,6,0,105.904,0.296
angry,0.0399,0.658,0.904,2.18e-06,1,1,125.88,0.783
angry,0.177,0.511,0.532,0,5,1,138.005,0.35
angry,0.0496,0.295,0.637,0.0236,8,1,84.551,0.221
angry,0.0121,0.589,0.632,0,11,0,102.311,0.46
angry,0.105,0.362,0.545,9.97e-06,1,1,181.895,0.448
angry,0.0579,0.64,0.553,0,2,0,81.992,0.486
angry,0.218,0.716,0.703,2.81e-06,9,0,124.099,0.846
angry,0.118,0.425,0.51,0,0,1,139.972,0.159
angry,0.162,0.66,0.817,0,11,0,135.942,0.714
angry,0.0118,0.722,0.626,0,3,0,163.802,0.585
angry,0.0338,0.682,0.53,0,11,0,112.694,0.858
angry,0.0139,0.62,0.805,4.79e-05,7,1,136.896,0.801
angry,0.00193,0.627,0.879,6.87e-06,9,1,129.979,0.748
angry,0.0391,0.608,0.816,3.31e-06,5,1,174.878,0.688
angry,0.0165,0.362,0.258,0.00714,7,1,77.021,0.133
angry,0.308,0.721,0.457,0,0,1,129.98,0.63
angry,0.612,0.849,0.48,0.269,9,1,142.021,0.677
angry,0.0192,0.494,0.723,0.0322,6,0,144.036,0.152
angry,0.00486,0.628,0.858,5.31e-06,5,0,139.988,0.775
angry,0.431,0.547,0.613,0,7,0,79.011,0.528
angry,0.07,0.671,0.644,0,5,0,106.003,0.529
angry,0.282,0.675,0.514,0,3,0,170.071,0.412
